id,name,real_name,birth_date,date_born,height,weight,height_cm,weight_kg,nationality,description,extract,debut,debut_year,retired,image_url,image_large,promotion,team,source,link,url,total_wins,total_losses,total_matches,win_rate,total_titles,es_campeon,championship_probability,edad,experiencia_anos,promedio_combates_por_año,ratio_victorias,total_titulos,total_reinados
15340,Andre Chase & Josh Briggs & Tony D'Angelo,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.0,1.0,1.0,0.0,0.0,0,0.0,,,,0.0,0.0,0
15342,Apollo Crews & Bryson Montana & Charlie Dempsey & Dabba-Kato & Damon Kemp & Dante Chen & Dijak & Drew Gulak & Edris Enofé & Hank Walker & Javier Bernal & Jinder Mahal & Malik Blade & Nathan Frazer & Odyssey Jones & Oro Mensah & Quincy Elliott & SCRYPTS & Xyon Quinn,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.0,1.0,1.0,0.0,0.0,0,0.0,,,,0.0,0.0,0
15350,Ivy Nile & Sol Ruca,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.0,1.0,1.0,0.0,0.0,0,0.0,,,,0.0,0.0,0
15361,Bron Breakker & Carmelo Hayes,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1.0,0.0,1.0,1.0,0.0,0,70.0,,,,1.0,0.0,0
15372,Ivy Nile & Katana Chance & Kayden Carter & Tatum Paxley,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.0,1.0,1.0,0.0,0.0,0,0.0,,,,0.0,0.0,0
15384,Dani Palmer & Valentina Feroz,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.0,1.0,1.0,0.0,0.0,0,0.0,,,,0.0,0.0,0
15391,Sol Ruca & Wes Lee,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1.0,0.0,1.0,1.0,0.0,0,70.0,,,,1.0,0.0,0
15393,Indi Hartwell & Lea Mitchell,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1.0,0.0,1.0,1.0,0.0,0,70.0,,,,1.0,0.0,0
15394,Monika Klisara & Zoey Stark,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,0.0,1.0,1.0,0.0,0.0,0,0.0,,,,0.0,0.0,0
15397,Bron Breakker & Brutus Creed & Julius Creed,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,3.0,0.0,3.0,1.0,0.0,0,70.0,,,,1.0,0.0,0
